epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1754.94,0.83735,1.21316,1.04053,0.79167,0.83232,0.86112,0.7507,0.56844,0.9556,0.93905,0.000212094,0.000212094,0.000212094
43,1796.36,0.79897,1.11971,1.02062,0.82061,0.83771,0.86357,0.75696,0.56949,0.99047,0.94473,0.000208559,0.000208559,0.000208559
44,1837.95,0.82105,1.185,1.0137,0.79113,0.86041,0.86677,0.74392,0.59744,0.92177,0.96938,0.000205025,0.000205025,0.000205025
45,1879.33,0.80075,1.10614,1.02326,0.8081,0.81635,0.83015,0.74068,0.56306,0.87941,0.94354,0.000201491,0.000201491,0.000201491
46,1920.96,0.83969,1.15442,1.02383,0.88149,0.79324,0.8389,0.73415,0.53546,0.87834,0.93142,0.000197957,0.000197957,0.000197957
47,1962.27,0.76243,1.04201,1.0049,0.82435,0.85405,0.86113,0.75371,0.57481,0.88294,0.94351,0.000194422,0.000194422,0.000194422
48,2003.68,0.77776,1.02551,0.99176,0.82833,0.84198,0.85934,0.76148,0.53563,0.86393,0.92253,0.000190888,0.000190888,0.000190888
49,2045.5,0.77838,1.04838,1.00171,0.84261,0.80933,0.8653,0.75209,0.56844,0.90854,0.95505,0.000187354,0.000187354,0.000187354
50,2087.13,0.75037,1.03089,0.98798,0.87607,0.81717,0.87557,0.75742,0.57678,0.87536,0.96026,0.000183819,0.000183819,0.000183819
51,2129.23,0.80698,1.04435,1.02529,0.83686,0.83581,0.88355,0.77193,0.56123,0.9561,0.94546,0.000180285,0.000180285,0.000180285
52,2170.92,0.80425,1.02491,1.01502,0.80233,0.82634,0.88162,0.77192,0.54035,0.86551,0.9188,0.000176751,0.000176751,0.000176751
53,2212.91,0.76119,1.03654,0.99802,0.8451,0.84078,0.87363,0.75975,0.56034,0.87158,0.9349,0.000173216,0.000173216,0.000173216
54,2255.98,0.79493,1.05952,1.0007,0.83,0.8365,0.8696,0.76255,0.57639,0.88111,0.94434,0.000169682,0.000169682,0.000169682
55,2298.15,0.77225,1.01142,1.01374,0.79003,0.83879,0.83913,0.74019,0.56712,0.85813,0.9284,0.000166148,0.000166148,0.000166148
56,2340.97,0.78255,1.02358,1.01341,0.81158,0.84046,0.85178,0.7377,0.59158,0.85666,0.95993,0.000162613,0.000162613,0.000162613
57,2383.91,0.77396,0.98492,0.9955,0.83468,0.82783,0.88278,0.78076,0.54614,0.87329,0.92654,0.000159079,0.000159079,0.000159079
58,2426.26,0.81576,1.0328,1.01943,0.89005,0.81434,0.88018,0.76261,0.59799,0.8482,0.95166,0.000155545,0.000155545,0.000155545
59,2468.46,0.76852,0.97516,1.00043,0.91734,0.81892,0.88175,0.76525,0.55585,0.82581,0.93755,0.000152011,0.000152011,0.000152011
60,2511.13,0.75616,0.96481,0.98633,0.84896,0.83856,0.87467,0.76775,0.54744,0.84238,0.92316,0.000148476,0.000148476,0.000148476
61,2552.98,0.76303,0.95224,0.99368,0.80937,0.84033,0.86827,0.76401,0.53393,0.82708,0.93163,0.000144942,0.000144942,0.000144942
62,2595.16,0.78539,1.02946,0.99119,0.84802,0.84025,0.87266,0.75887,0.55673,0.84325,0.93809,0.000141408,0.000141408,0.000141408
63,2637.35,0.78843,1.02055,1.00916,0.84517,0.8456,0.86977,0.76,0.52815,0.83604,0.92218,0.000137873,0.000137873,0.000137873
64,2678.98,0.76349,0.94364,0.98835,0.86942,0.82743,0.86948,0.76977,0.53595,0.82639,0.93568,0.000134339,0.000134339,0.000134339
65,2720.86,0.75417,0.94978,1.00381,0.81318,0.84372,0.87057,0.75306,0.54333,0.81913,0.92522,0.000130805,0.000130805,0.000130805
66,2763.1,0.7301,0.90902,0.97781,0.84476,0.84386,0.8833,0.76313,0.57333,0.81382,0.93444,0.000127271,0.000127271,0.000127271
67,2805.14,0.8033,0.96885,1.01414,0.85418,0.83808,0.87648,0.7715,0.54617,0.86,0.93167,0.000123736,0.000123736,0.000123736
68,2847.19,0.76878,0.94712,1.01328,0.81432,0.84694,0.88192,0.77656,0.53583,0.81774,0.91736,0.000120202,0.000120202,0.000120202
69,2889.67,0.72968,0.89455,0.9712,0.81419,0.84904,0.87596,0.76667,0.54408,0.87278,0.92472,0.000116668,0.000116668,0.000116668
70,2931.22,0.74112,0.88967,0.98866,0.81509,0.85321,0.87023,0.77134,0.54061,0.82917,0.91944,0.000113133,0.000113133,0.000113133
71,2973.46,0.72943,0.9232,0.98373,0.83358,0.86076,0.87039,0.76133,0.53427,0.83928,0.91718,0.000109599,0.000109599,0.000109599
72,3016.01,0.73691,0.87518,0.99636,0.85378,0.85221,0.87249,0.77081,0.53804,0.8476,0.93353,0.000106065,0.000106065,0.000106065
73,3057.66,0.75875,0.85011,0.99072,0.87056,0.83983,0.87316,0.7732,0.55482,0.83454,0.93508,0.00010253,0.00010253,0.00010253
74,3099.58,0.72589,0.91414,0.97309,0.80394,0.86422,0.87949,0.77691,0.53273,0.849,0.92978,9.89961e-05,9.89961e-05,9.89961e-05
75,3143.69,0.74141,0.9214,0.98758,0.87343,0.82865,0.86844,0.7595,0.54055,0.81754,0.92693,9.54618e-05,9.54618e-05,9.54618e-05
76,3185.49,0.72548,0.9321,0.98455,0.85587,0.83706,0.87048,0.77638,0.52016,0.79768,0.92162,9.19275e-05,9.19275e-05,9.19275e-05
77,3227.23,0.72068,0.94138,0.99299,0.82547,0.8367,0.87941,0.78162,0.51648,0.83604,0.92086,8.83932e-05,8.83932e-05,8.83932e-05
78,3270.05,0.7748,0.91899,1.01002,0.85654,0.83651,0.8745,0.77177,0.52136,0.8146,0.91612,8.48589e-05,8.48589e-05,8.48589e-05
79,3312.08,0.7313,0.8648,0.97649,0.89238,0.82822,0.88137,0.77618,0.52572,0.79286,0.91304,8.13246e-05,8.13246e-05,8.13246e-05
80,3354.27,0.7251,0.84928,0.98857,0.89635,0.82359,0.87915,0.77323,0.53893,0.79738,0.93898,7.77903e-05,7.77903e-05,7.77903e-05
81,3396.65,0.72622,0.85091,0.96753,0.90453,0.82749,0.87752,0.77618,0.53484,0.80184,0.93683,7.4256e-05,7.4256e-05,7.4256e-05
82,3438.61,0.74164,0.86611,0.98811,0.87728,0.8377,0.87348,0.77713,0.52576,0.81311,0.9207,7.07217e-05,7.07217e-05,7.07217e-05
83,3480.56,0.70597,0.86366,0.9762,0.86341,0.83711,0.87331,0.77388,0.5098,0.78736,0.90873,6.71874e-05,6.71874e-05,6.71874e-05
84,3522.6,0.74759,0.89303,0.99305,0.87927,0.83018,0.87589,0.7626,0.53569,0.79436,0.92464,6.36531e-05,6.36531e-05,6.36531e-05
85,3565.35,0.74759,0.8922,0.99908,0.90747,0.82401,0.87403,0.77243,0.52972,0.79948,0.93052,6.01188e-05,6.01188e-05,6.01188e-05
86,3607.48,0.72014,0.84455,0.97062,0.91365,0.82029,0.86973,0.77213,0.51383,0.78526,0.91962,5.65845e-05,5.65845e-05,5.65845e-05
87,3649.96,0.72336,0.87953,0.99249,0.9011,0.83302,0.87388,0.77152,0.50595,0.79339,0.9086,5.30502e-05,5.30502e-05,5.30502e-05
88,3691.78,0.72248,0.84861,0.97369,0.88953,0.8362,0.87557,0.76537,0.52898,0.81333,0.91258,4.95159e-05,4.95159e-05,4.95159e-05
89,3733.73,0.70416,0.82064,0.98598,0.8919,0.82907,0.87562,0.76983,0.52701,0.79406,0.91789,4.59816e-05,4.59816e-05,4.59816e-05
